District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden,None_3,None_4,Production of Outside Garden,None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,770.79,291.34,2672.61,370.66,395.82,573.48,1699.34,1381.18,1238.52,2070,1777.00,1812.00
2,Barishal,1433,878.00,1109.00,159.85,10.23,13.51,4452.15,4207.77,4803.49,4612,4218.00,4817.00
3,Bhola,227.91,136.92,120.95,40.69,55.32,80.20,1349.91,1699.28,1343.00,1284,1754.60,1423.20
4,Jhallokati,362,379.00,389.00,39.45,39.90,44.42,989.55,877.10,972.58,1029,917.00,1017.00
5,Patuakhali,811.00,819.00,847.00,0,0.00,0.00,3324,3330.00,3553.00,3324,3330.00,3553.00
6,Pirojpur,65.46,62.54,70.15,340.66,336.76,1139.87,1168.14,1153.24,339.97,1508.80,1490.00,1479.84
Barishal Division,None,3670.16,2566.80,5208.71,951.31,838.03,1851.48,12983.09,12648.57,12250.56,13934.40,13486.60,14102.04
7,Bandarban,278.28,280.00,280.60,1128.45,1290.06,1277.48,511.83,494.94,513.12,1640.28,1785.00,1790.60
8,Brahmanbaria,171.92,125.00,125.70,121.50,117.26,149.04,1178.53,921.74,1002.56,1300.03,1039.00,1151.60
9,Chandpur,156.55,152.00,151.60,195.55,188.80,0.00,2353.45,2568.20,2347.50,2549,2757.00,2347.50
10,Chattogram,334.35,335.00,350.30,565.38,367.84,668.43,3711.62,3675.16,1829.57,4277,4043.00,2498.00
11,Cumilla,463.78,457.00,460.80,15.50,28.18,28.29,2689.46,2365.82,2417.21,2704.96,2394.00,2445.50
12,Coxâ€™s Bazar,311.11,316.00,285.00,1187.58,1246.78,430.72,1101.24,757.22,3564.88,2288.82,2004.00,3995.60
13,Feni,96.51,97.00,97.90,106.03,96.14,101.24,449.04,460.86,432.76,555.07,557.00,534.00
14,Khagrachari,374.71,440.00,459.50,834.11,937.30,976.88,1512.29,1499.70,1521.12,2346.40,2437.00,2498.00
15,Lakshmipur,136.3,135.00,136.10,94.25,93.40,81.31,4126.75,4177.60,3617.29,4221,4271.00,3698.60
16,Noakhali,197.47,204.00,192.90,75.57,82.44,0.00,1491.49,1654.56,1783.60,1567.06,1737.00,1783.60
17,Rangamati,503.04,500.00,502.75,4857.96,4828.33,4765.10,3035.26,3129.67,3109.06,7893.22,7958.00,7874.16
Chattogram Division,None,3024.02,3041.00,3043.15,9181.88,9276.53,8478.49,22160.96,21705.47,22138.67,31342.84,30982.00,30617.16
18,Dhaka,104.47,104.62,15.76,981.92,1009.93,279.94,1561.08,1618.88,187.00,2543,2628.81,466.94
19,Faridpur,442,448.00,180.00,639.53,710.80,3305.58,2664.47,2972.20,1447.42,3304,3683.00,4753.00
20,Gazipur,173,178.00,136.07,3040.41,3292.10,186.79,1061.59,1351.90,44.27,4102,4644.00,231.06
21,Gopalganj,519.78,563.82,422.70,0,0.00,4042.88,2269,2487.54,1824.39,2269,2487.54,5867.27
22,Kishoreganj,99.33,92.98,95.64,1993.28,2070.59,2114.60,2044.72,2146.24,2271.43,4038,4216.83,4386.03
23,Madaripur,240,234.49,221.79,452.20,469.15,575.73,1998.80,2065.02,1932.07,2451,2534.17,2507.80
24,Manikganj,190,145.10,136.07,0,115.14,186.79,2621,2306.41,44.27,2621,2421.55,231.06
25,Munshiganj,99.92,102.38,285.02,13.59,16.35,43.86,814.06,928.55,955.92,827.65,944.90,999.78
26,Narayanganj,43.96,56.07,54.92,169.65,171.94,177.43,632.59,632.19,620.65,802.24,804.13,798.08
27,Narsingdi,418.05,417.95,422.70,4516.17,2757.36,4042.88,1584.83,1011.82,1824.39,6101,3769.18,5867.27
28,Rajbari,543.00,585.00,404.55,2645.20,2517.02,2770.70,3492.80,2995.81,3387.85,6138,5512.83,6158.55
29,Shariatpur,97.45,97.45,140.37,307.53,307.53,339.50,911.86,911.47,991.50,1219.39,1219.00,1331.00
30,Tangail,397.45,394.19,140.37,1683.59,1856.40,1888.34,3593.79,3988.50,3985.76,5277.38,5844.90,5874.10
Dhaka Division,None,3368.41,3420.05,2655.96,16443.07,15294.31,19955.02,25250.59,25416.53,19516.92,41693.66,40710.84,39471.94
31,Bagerhat,107,151.37,156.24,114.98,73.88,77.59,1253.62,1639.42,1634.58,1368.60,1713.30,1712.17
32,Chuadanga,137.06,139.08,144.56,2532.22,2660.47,2774.29,1038.08,1078.83,1033.79,3570.30,3739.30,3808.08
33,Jashore,239.94,865.29,863.18,1712.21,14040.41,14114.35,15631.79,3940.59,3986.98,17344.00,17981.00,18101.33
34,Jhenaidah,499.04,503.53,506.70,2152.96,2270.24,2277.68,3949.84,4119.86,4248.98,6102.80,6390.10,6526.66
35,Khulna,172.72,173.91,116.27,318.86,339.90,173.93,2214.84,2236.60,2260.29,2533.70,2576.50,2434.22
36,Kushtia,29.00,258.00,299.00,2319.1,2608.95,4538.52,5554.9,5251.45,6343.48,7874,7860.40,10882.00
37,Magura,297.18,299.33,300.28,4485.44,4501.88,4582.79,2237.36,2247.32,2287.01,6722.80,6749.20,6869.80
38,Meherpur,100.17,104.90,99.26,2014.69,1902.00,2072.70,392.31,743.40,789.45,2407,2645.40,2862.15
39,Narail,365,391.38,393.94,1612.36,1611.26,1619.29,2234.44,2249.34,2262.58,3846.80,3860.60,3881.87
40,Satkhira,407.04,408.81,366.16,1746.27,1872.88,751.07,1079.73,1189.52,885.49,2826,3062.40,1636.56
Khulna Division,None,2354.15,3295.60,3245.59,19009.09,31881.87,32982.21,35586.91,24696.33,25732.63,54596.00,56578.20,58714.84
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
41,Jamalpur,308.00,329.00,331.00,528.48,851.97,854.70,4866.52,5044.03,5074.30,5395,5896.00,5929.00
42,Mymensingh,3247.00,3274.00,3394.00,7642.49,7980.10,7969.75,15572.51,15955.90,15986.19,23215,23936.00,23955.94
43,Netrokona,174.00,172.00,172.00,42.49,176.43,247.92,3382.51,3171.57,3051.08,3425,3348.00,3299.00
44,Sherpur,194.00,219.00,221.00,699.15,692.69,697.98,1542.85,2199.31,2170.02,2242,2892.00,2868.00
Mymensingh Division,None,3923,3994.00,4118.00,8912.61,9701.19,9770.35,25364.39,26370.81,26281.59,34277,36072.00,36051.94
45,Bogura,441.00,432.39,69.48,5299.08,5587.79,7437.75,1764.92,1859.11,2208.95,7064,7446.90,9646.70
46,Joypurhat,74.00,98.78,69.49,891.18,338.00,222.18,983.82,850.80,963.22,1875,1188.80,1185.40
47,Naogaon,147.00,154.01,160.50,455.27,1030.36,884.76,1832.73,1970.24,1833.75,2288,3000.60,2718.51
48,Natore,280,354.51,400.48,3725.28,4371.06,480.93,3738.72,4749.04,8757.37,7464,9120.10,9238.30
49,Chapai Nawabganj,253,254.34,295.52,1476.14,1595.92,1754.01,1889.86,1967.68,2220.79,3366,3563.60,3974.80
50,Pabna,497,492.00,433.24,1626.4,1829.45,2069.64,5870.30,7088.95,7697.64,7496.70,8918.40,9767.28
51,Rajshahi,1687,1608.59,1613.03,64551,64986.48,62057.94,11258,11538.42,11307.26,75809,76524.90,73365.20
52,Sirajganj,294,295.06,299.17,343.98,434.02,456.90,4187.02,5176.48,5364.80,4531,5610.50,5821.70
Rajshahi Division,None,3673,3689.68,3340.91,78368.33,80173.08,75364.11,31525.37,35200.72,40353.78,109893.70,115373.80,115717.89
53,Dinajpur,416.00,388.85,390.43,1289.65,1362.71,1393.34,2846.35,3011.02,3099.05,4136,4373.73,4492.39
54,Gaibandha,178.56,166.66,173.65,681.56,761.24,743.08,1314.30,1286.92,1325.71,1995.86,2048.16,2068.79
55,Kurigram,176.93,171.97,173.60,159.60,185.06,204.50,1648.95,1884.30,2071.50,1808.55,2069.36,2276.00
56,Lalmonirhat,158.05,158.34,153.93,338.60,335.52,338.33,1192.83,1176.60,1187.11,1531.43,1512.12,1525.44
57,Nilphamari,81.4,81.42,84.00,162.44,168.59,170.28,2452.43,2465.70,2449.86,2614.87,2634.29,2620.14
58,Panchagar,76.57,78.57,79.12,309.13,320.67,343.93,1441.87,1480.16,1550.05,1751,1800.83,1893.98
59,Rangpur,234.89,246.29,250.80,1055,1035.60,1131.74,2621.10,2678.80,2774.46,3676.10,3714.40,3906.20
60,Thakurgaon,92.28,92.45,92.81,564.91,566.33,568.44,776.23,784.67,800.36,1341.14,1351.00,1368.80
Rangpur Divison,None,1414.68,1384.55,1398.34,4560.89,4735.72,4893.64,14294.06,14768.17,15258.10,18854.95,19503.89,20151.74
61,Habiganj,40.21,47.52,44.83,99.60,96.40,125.97,311.81,374.19,425.82,411.41,470.59,551.79
62,Moulvibazar,224.41,85.50,88.22,100.80,112.85,120.33,1311.50,1294.11,1319.39,1412.30,1406.96,1439.72
63,Sunamganj,52.90,53.50,56.30,0,0.00,0.00,403,412.00,538.00,403,412.00,538.00
64,Sylhet,179.00,255.00,266.00,236.08,233.20,244.87,879.92,925.80,966.13,1116,1159.00,1211.00
Sylhet Division,None,496.52,441.52,455.35,436.48,442.45,491.17,2906.23,3006.10,3249.34,3342.71,3448.55,3740.51
BANGLADESH,None,21923.94,21833.20,23466.01,137863.66,152343.18,153786.47,170071.6,163812.70,164781.59,307935.26,316155.88,318568.06
