District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0.00,0.00,0.00,0.00,0.00,0.00
2,Barishal,0.00,0.00,0.00,0.00,0.00,0.00
3,Bhola,0.00,0.00,0.00,0.00,0.00,0.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,None,0.00,0.00,0.00,0.00,0.00,0.00
7,Bandarban,64.10,17.20,64.70,18.82,65.10,18.93
8,Brahmanbaria,0.00,0.00,0.00,0.00,0.00,0.00
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00
10,Chattogram,36.17,24.28,34.49,23.15,34.14,24.53
11,Cumilla,2.50,1.09,3.30,1.80,3.50,1.80
12,Coxâ€™s Bazar,23.00,5.20,22.75,5.05,12.20,5.20
13,Feni,11.76,3.60,11.78,3.90,12.80,4.45
14,Khagrachari,26.10,8.00,26.60,6.55,26.00,6.35
15,Lakshmipur,16.50,6.05,16.85,6.26,20.10,7.83
16,Noakhali,50.00,17.50,56.00,20.16,67.00,24.12
17,Rangamati,150.62,79.18,150.55,78.57,144.89,74.46
Chattogram Division,None,380.75,162.10,387.02,164.26,385.73,167.67
18,Dhaka,0.00,0.00,0.00,0.00,0.00,0.00
19,Faridpur,4.50,1.50,4.00,1.00,5.00,2.00
20,Gazipur,2.15,0.91,2.03,0.87,1.98,0.85
21,Gopalganj,0.00,0.00,0.00,0.00,0.00,0.00
22,Kishoreganj,0.00,0.00,0.00,0.00,0.00,0.00
23,Madaripur,0.00,0.00,0.00,0.00,0.00,0.00
24,Manikganj,0.00,0.00,0.00,0.00,0.00,0.00
25,Munshiganj,13.00,4.23,12.00,3.83,11.80,3.72
26,Narayanganj,0.00,0.00,0.00,0.00,0.00,0.00
27,Narsingdi,0.00,0.00,0.00,0.00,0.00,0.00
28,Rajbari,28.00,10.50,33.50,10.92,35.00,11.92
29,Shariatpur,0.00,0.00,0.00,0.00,0.00,0.00
30,Tangail,2.65,0.59,2.30,0.56,0.00,0.00
Dhaka Division,None,50.30,17.73,53.83,17.18,53.78,18.49
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,24.25,6.85,23.70,6.61,23.60,9.20
33,Jashore,8.24,2.66,4.00,1.00,2.00,0.61
34,Jhenaidah,0.00,0.00,0.00,0.00,0.00,0.00
35,Khulna,0.00,0.00,0.00,0.00,0.00,0.00
36,Kushtia,84.00,42.00,65.00,34.00,10.00,8.00
37,Magura,12.25,3.92,8.02,2.55,7.45,2.41
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,18.00,7.54,18.50,7.92,18.00,7.77
39,Narail,0.00,0.00,0.00,0.00,0.00,0.00
40,Satkhira,0.00,0.00,0.00,0.00,0.00,0.00
Khulna Division,None,146.74,62.97,119.22,52.08,61.05,27.99
41,Jamalpur,6.00,2.00,7.00,2.00,6.00,2.00
42,Mymensingh,0.00,0.00,0.00,0.00,0.00,0.00
43,Netrokona,0.00,0.00,0.00,0.00,0.00,0.00
44,Sherpur,9.00,3.00,5.00,2.00,2.00,1.00
Mymensingh Division,None,15.00,5.00,12.00,4.00,8.00,3.00
45,Bogura,1.00,0.78,1.24,0.97,1.42,1.13
46,Joypurhat,12.85,5.15,6.96,2.77,6.11,2.45
47,Naogaon,98.65,41.68,87.90,37.05,78.65,34.75
48,Natore,11.67,2.76,15.91,3.83,16.57,4.82
49,Chapai Nawabganj,54.00,21.80,50.00,19.59,36.00,17.88
50,Pabna,8.00,7.00,0.00,0.00,0.00,0.00
51,Rajshahi,5.00,1.52,0.00,0.00,0.00,0.00
52,Sirajganj,0.00,0.00,0.00,0.00,0.00,0.00
Rajshahi Division,None,191.17,80.69,162.01,64.21,138.75,61.03
53,Dinajpur,12.00,6.00,12.00,4.00,9.00,4.00
54,Gaibandha,52.50,25.74,53.40,26.95,41.00,22.00
55,Kurigram,58.00,16.07,53.00,12.95,48.00,15.00
56,Lalmonirhat,7.00,1.66,7.50,1.85,7.00,1.80
57,Nilphamari,0.00,0.00,0.00,0.00,0.00,0.00
58,Panchagar,0.00,0.00,0.00,0.00,0.00,0.00
59,Rangpur,85.00,52.00,88.00,54.00,87.00,40.00
60,Tahkurgaon,45.00,15.90,35.00,12.05,39.00,14.00
Rangpur Division,None,259.50,117.37,248.90,111.80,231.00,96.80
61,Habigonj,0.00,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,28.00,8.56,29.00,8.97,28.61,9.24
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,0.00,0.00,0.00,0.00,0.00,0.00
Sylhet Division,None,28.00,8.56,29.00,8.97,28.61,9.24
BANGLADESH,None,1071.46,454.42,1011.98,422.50,906.92,384.22
